,From,To,Time,Value
0,0x0e0889a8f18c1319b2f8e22aec2f4bbe8fc422a0,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:31:14Z,Mint
1,0xbf0a2fed0b3958b3d77735411971d0755e5be8e3,0x4cff3e9409beb4f824abb6f787c2a4d63c688d69,2022-01-01T18:31:18Z,7E-18
2,0x861e29d6f48e3dd166e01c188059f1f0fb23b36a,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:31:36Z,Mint
3,0x8c60cd3b825e364447eaf15e0e1061c9bbb0dd4e,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:32:04Z,Swap
4,0x84d5317c1b79dd848a2522afc35d0c71a3d9a16d,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-01-01T18:32:12Z,RewardPaid
5,0xc5d6c14dad14e0e6a15c0461db040d4c81c139d8,0x4d4171d9e19619d4ea12ca42b5a89bcca8e9ce46,2022-01-01T18:32:30Z,Deposit
6,0xf53069fffdbf90f88f8f1cee86c40941afd22d33,0xf2e4209afa4c3c9eaa3fb8e12eed25d8f328171c,2022-01-01T18:34:16Z,Approval
7,0x0da33c591d7f27c1b27136882844544a1413e98c,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-01-01T18:35:04Z,RewardPaid
8,0x4555603215bfefada5f882d1b3a0fa19f2cd306e,0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31,2022-01-01T18:35:08Z,Approval
9,0x65d7686ac40e187c2556d9c9f0e98adf2b1af383,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:35:30Z,Swap
10,0x89dd48b3431b7abcc54dc4c78c08e53454d2bc7a,0x34d4ab47bee066f361fa52d792e69ac7bd05ee23,2022-01-01T18:35:52Z,Approval
11,0x89dd48b3431b7abcc54dc4c78c08e53454d2bc7a,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:36:24Z,Mint
12,0x65d7686ac40e187c2556d9c9f0e98adf2b1af383,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:37:16Z,Approval
13,0x8c60cd3b825e364447eaf15e0e1061c9bbb0dd4e,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:37:38Z,Mint
14,0x55ca729ebe547b8b3d3032fbb1b38842a700df9a,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-01-01T18:38:54Z,RewardPaid
15,0xf1d9e2ccfc4f189bb177ac17f0d3cb24a54359bb,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,2022-01-01T18:39:18Z,Approval
16,0x99799dbb5a66b2ed2499524a741ab7911236db1c,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:40:30Z,Swap
17,0x99799dbb5a66b2ed2499524a741ab7911236db1c,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:40:58Z,Mint
18,0xb39f3b058148144572c79ebe24b17ba405ce7d9d,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-01-01T18:42:04Z,RewardPaid
19,0x328569bf53ca077c5b077d1843606651a3604bd3,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:42:34Z,Mint
20,0x4e29a366d1c9a92d449f450cbcbd4aafc42c80d2,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-01-01T18:42:42Z,RewardPaid
21,0x463dd47b0a41d4278a812f07b7c0412d54b8b9b5,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:43:26Z,Swap
22,0x328569bf53ca077c5b077d1843606651a3604bd3,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:44:12Z,Mint
23,0xb0cecbcbbecfa68a527d3be599b0a7476f5f99df,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:44:16Z,Swap
24,0x2e7ccfe501a2208a1c97703cb989586b8efb12d1,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:44:28Z,Swap
25,0xc4c1efaff2d04330ae56fd5bc48f86a386b9738f,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:44:46Z,Burn
26,0x0da33c591d7f27c1b27136882844544a1413e98c,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-01-01T18:45:04Z,RewardPaid
27,0xc4c1efaff2d04330ae56fd5bc48f86a386b9738f,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:45:48Z,Swap
28,0x037dfd569defbc08ae28001159b4c49f6d006cff,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,2022-01-01T18:47:52Z,Approval
29,0xf1d9e2ccfc4f189bb177ac17f0d3cb24a54359bb,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:48:14Z,Mint
30,0x463dd47b0a41d4278a812f07b7c0412d54b8b9b5,0x4d4171d9e19619d4ea12ca42b5a89bcca8e9ce46,2022-01-01T18:49:17Z,Deposit
31,0x6dc82ac45e188b85c37a3815baebc5762a5fc289,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:50:03Z,Approval
32,0x25e314ecc63eb7b19677680d3bde64d34c3a99b8,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:52:53Z,Swap
33,0x92cb71850aa43263ebaaa1e0ed3e78cb984915ff,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:52:53Z,Mint
34,0xf1d9e2ccfc4f189bb177ac17f0d3cb24a54359bb,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,2022-01-01T18:54:43Z,Approval
35,0x1984edf70973e1389548f21cd0dcb15b408240c9,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-01-01T18:54:57Z,RewardPaid
36,0x0da33c591d7f27c1b27136882844544a1413e98c,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-01-01T18:55:05Z,RewardPaid
37,0x25e314ecc63eb7b19677680d3bde64d34c3a99b8,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:55:25Z,Mint
38,0x1984edf70973e1389548f21cd0dcb15b408240c9,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-01-01T18:55:25Z,Staked
39,0x2502f5413cfcf8ea8be2328bb26dfb906467247c,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-01-01T18:55:43Z,Withdrawn
40,0x92cb71850aa43263ebaaa1e0ed3e78cb984915ff,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:56:11Z,Approval
41,0x4b20ccfa9416da26f70106c9314bff8a5d12f99f,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-01-01T18:56:21Z,Swap
42,0xc5df5fedd51a0ee09ea02fee5444295372d699d1,0x3cd3bccbe75794f69a8a034ce5e32e84d136dee0,2022-01-01T18:56:43Z,2.881554205655260
43,0xf1d9e2ccfc4f189bb177ac17f0d3cb24a54359bb,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,2022-01-01T18:57:49Z,Approval
